This function calculates N(6, 3, p).

Parameters: #simulations = 100.
p from 0.05 to 0.35 step 0.01.

p, N(p), SD, size.
0.22, 24.78, 6.14261, 30
0.23, 22.17, 5.0101, 30
0.24, 21.33, 5.89416, 30
0.25, 19.94, 4.347, 30
0.26, 17.78, 3.55972, 30
0.27, 17.09, 3.88612, 30
0.28, 14.97, 2.98481, 30
0.29, 15.27, 3.4376, 30
0.3, 14.45, 3.16346, 30
0.31, 14.16, 3.47194, 30
0.32, 12.84, 2.50886, 30
0.33, 11.69, 2.47667, 30
0.34, 11.44, 2.31655, 30

Processor time: 0.456.

p, N(p), SD, size.

0.05, 3.6, 2.76767, 35
0.06, 6.08, 5.37342, 35
0.07, 13.03, 20.4648, 35
0.08, 23.03, 33.2702, 35
0.09, 35.34, 35.1878, 35
0.1, 44.81, 38.3926, 35
0.11, 67.77, 36.5488, 35
0.12, 68.32, 30.0852, 35
0.13, 61.95, 21.5969, 35
0.14, 58.28, 13.6756, 35
0.15, 51.81, 11.9547, 35
0.16, 45.15, 10.164, 35
0.17, 40.66, 8.75354, 35
0.18, 35.05, 7.64248, 35
0.19, 32.09, 6.44995, 35
0.2, 29.79, 5.78151, 35
0.21, 26.49, 4.54201, 35
0.22, 25, 5.71314, 35
0.23, 23.13, 5.20126, 35
0.24, 21.42, 4.40041, 35
0.25, 19.23, 4.03449, 35
0.26, 18.49, 3.95852, 35
0.27, 17.14, 3.38827, 35
0.28, 16.73, 3.818, 35
0.29, 16.04, 3.72269, 35
0.3, 15.23, 3.49243, 35
0.31, 13.93, 2.58556, 35
0.32, 12.74, 2.2254, 35
0.33, 12.71, 2.78315, 35
0.34, 12.02, 2.13063, 35

Processor time: 0.694.

p, N(p), SD, size.

0.05, 5.09, 7.37305, 40
0.06, 8.04, 15.7562, 40
0.07, 15.34, 24.6224, 40
0.08, 21.52, 22.9096, 40
0.09, 34.74, 40.9677, 40
0.1, 63.5, 47.7132, 40
0.11, 77.93, 39.7488, 40
0.12, 79.66, 27.272, 40
0.13, 70.45, 21.6242, 40
0.14, 61.02, 13.1027, 40
0.15, 53.6, 11.2134, 40
0.16, 47.41, 10.3142, 40
0.17, 40.87, 8.16658, 40
0.18, 37.65, 8.28779, 40
0.19, 32.54, 7.44099, 40
0.2, 30.17, 5.82075, 40
0.21, 27.35, 5.8453, 40
0.22, 25.28, 4.91137, 40
0.23, 23.51, 4.98497, 40
0.24, 21.92, 4.04643, 40
0.25, 20.68, 4.87418, 40
0.26, 18.71, 3.26893, 40
0.27, 18.09, 3.52731, 40
0.28, 16.72, 3.45855, 40
0.29, 15.36, 3.31518, 40
0.3, 14.74, 2.72257, 40
0.31, 13.9, 3.05123, 40
0.32, 13.45, 2.73633, 40
0.33, 12.73, 2.49341, 40
0.34, 12.54, 3.10941, 40

Processor time: 0.951.

p, N(p), SD, size.

0.05, 4.5, 3.16702, 45
0.06, 7.07, 6.51192, 45
0.07, 14.38, 23.591, 45
0.08, 28.48, 40.7665, 45
0.09, 52.94, 61.1176, 45
0.1, 82.2, 57.5672, 45
0.11, 99.81, 38.4985, 45
0.12, 87.12, 22.7003, 45
0.13, 75.44, 18.2287, 45
0.14, 64.7, 15.1905, 45
0.15, 55.98, 13.1415, 45
0.16, 46.14, 9.60315, 45
0.17, 41.74, 9.49697, 45
0.18, 37.65, 7.72447, 45
0.19, 32.72, 6.331, 45
0.2, 30.34, 5.72926, 45
0.21, 27.78, 5.31898, 45
0.22, 24.68, 4.62792, 45
0.23, 23.12, 4.30181, 45
0.24, 22, 4.24264, 45
0.25, 20.12, 3.62293, 45
0.26, 19.27, 3.87519, 45
0.27, 17.81, 3.12312, 45
0.28, 16.82, 3.38934, 45
0.29, 16.44, 3.17276, 45
0.3, 15.16, 3.43138, 45
0.31, 14.59, 2.94651, 45
0.32, 13.91, 2.92265, 45
0.33, 13.13, 2.4603, 45
0.34, 12.54, 2.56679, 45

Processor time: 1.272.

p, N(p), SD, size.

0.05, 6.1, 5.42863, 50
0.06, 9.41, 8.43338, 50
0.07, 19.31, 27.2755, 50
0.08, 36.41, 49.0386, 50
0.09, 80.77, 66.0824, 50
0.1, 100.54, 57.3664, 50
0.11, 105.84, 30.5266, 50
0.12, 90.43, 20.4589, 50
0.13, 76.22, 16.887, 50
0.14, 63.91, 13.3694, 50
0.15, 54.36, 11.188, 50
0.16, 48.09, 8.76481, 50
0.17, 41.66, 7.64882, 50
0.18, 37.98, 7.70452, 50
0.19, 34.74, 7.40759, 50
0.2, 30.32, 5.93276, 50
0.21, 28.19, 5.74055, 50
0.22, 26.09, 4.34533, 50
0.23, 24.38, 3.99695, 50
0.24, 22.48, 4.62056, 50
0.25, 20.93, 4.56564, 50
0.26, 19.88, 4.31342, 50
0.27, 18.02, 3.01655, 50
0.28, 17.15, 2.58215, 50
0.29, 15.62, 2.31422, 50
0.3, 15.42, 2.65774, 50
0.31, 14.4, 2.48193, 50
0.32, 13.67, 2.58478, 50
0.33, 13.16, 2.3779, 50
0.34, 12.38, 2.32714, 50

Processor time: 1.676.

p, N(p), SD, size.

0.05, 6.47, 5.03082, 55
0.06, 9.6, 7.4793, 55
0.07, 21.74, 36.7425, 55
0.08, 52.01, 63.6964, 55
0.09, 94.67, 70.2442, 55
0.1, 111.06, 58.7991, 55
0.11, 114.6, 36.4453, 55
0.12, 93.85, 22.3948, 55
0.13, 79.93, 14.7711, 55
0.14, 66.22, 14.4621, 55
0.15, 53.9, 8.92244, 55
0.16, 47.35, 8.94469, 55
0.17, 42.32, 7.46442, 55
0.18, 38.37, 7.26589, 55
0.19, 34.71, 6.09474, 55
0.2, 31.14, 5.8924, 55
0.21, 28.1, 5.16043, 55
0.22, 25.66, 4.9198, 55
0.23, 23.98, 4.21896, 55
0.24, 22.78, 4.22748, 55
0.25, 21.32, 3.60522, 55
0.26, 19.16, 2.81681, 55
0.27, 17.98, 3.04624, 55
0.28, 16.94, 2.51722, 55
0.29, 16.36, 3.35118, 55
0.3, 15.82, 2.98121, 55
0.31, 15.19, 3.13271, 55
0.32, 13.94, 2.81716, 55
0.33, 13.08, 2.13392, 55
0.34, 12.88, 2.13673, 55

Processor time: 2.149.

p, N(p), SD, size.

0.05, 7.45, 5.45046, 60
0.06, 10.36, 8.76644, 60
0.07, 21.63, 31.3652, 60
0.08, 69.3, 81.8472, 60
0.09, 110.31, 77.725, 60
0.1, 129.8, 56.6682, 60
0.11, 118.97, 28.7459, 60
0.12, 96.35, 19.2673, 60
0.13, 76.57, 13.8919, 60
0.14, 67.33, 13.6463, 60
0.15, 55.85, 9.66062, 60
0.16, 49.06, 9.39342, 60
0.17, 42.99, 8.72181, 60
0.18, 38.61, 7.47248, 60
0.19, 34.55, 6.11453, 60
0.2, 30.42, 4.76903, 60
0.21, 28.05, 5.33174, 60
0.22, 26.24, 4.41842, 60
0.23, 24.55, 4.9787, 60
0.24, 22.81, 4.11022, 60
0.25, 21.17, 4.06462, 60
0.26, 20.45, 4.4886, 60
0.27, 18.67, 3.11145, 60
0.28, 17.96, 3.72537, 60
0.29, 16.63, 3.07134, 60
0.3, 15.35, 2.62059, 60
0.31, 14.57, 2.97071, 60
0.32, 13.85, 2.38065, 60
0.33, 13.8, 2.98664, 60
0.34, 13.03, 2.30415, 60

Processor time: 2.602.

p, N(p), SD, size.

0.05, 7.99, 5.05865, 65
0.06, 13.47, 23.7303, 65
0.07, 27.44, 39.3234, 65
0.08, 52.63, 66.5478, 65
0.09, 115.34, 84.9519, 65
0.1, 140.14, 50.2778, 65
0.11, 124.02, 30.6268, 65
0.12, 98.31, 22.2938, 65
0.13, 80.33, 16.45, 65
0.14, 66.48, 12.0735, 65
0.15, 57.62, 10.6102, 65
0.16, 48.54, 8.47398, 65
0.17, 42.45, 8.71593, 65
0.18, 39.08, 6.77596, 65
0.19, 34.1, 5.36749, 65
0.2, 32.56, 6.1373, 65
0.21, 29.1, 5.20481, 65
0.22, 26, 5.09706, 65
0.23, 24.94, 4.64934, 65
0.24, 22.85, 4.20803, 65
0.25, 21.86, 3.80531, 65
0.26, 20, 3.20312, 65
0.27, 19.08, 3.77274, 65
0.28, 18.42, 3.96278, 65
0.29, 16.57, 2.51895, 65
0.3, 16.06, 2.81361, 65
0.31, 15.37, 2.91772, 65
0.32, 13.89, 2.16746, 65
0.33, 13.82, 2.29076, 65
0.34, 12.83, 1.81138, 65

