This function calculates N(6, 3, p).

Parameters: #simulations = 10000.
p from 0.05 to 0.15 step 0.005.

p, N(p), SD, #percolation, size.
0.065, 401.029, 423.54, 4037, 170
0.07, 628.9, 316.293, 7850, 170
0.075, 604.045, 143.358, 9778, 170
0.08, 460.849, 83.731, 9995, 170
0.085, 354.134, 56.5492, 9999, 170
0.09, 279.146, 41.2023, 10000, 170
0.095, 226.596, 31.3931, 10000, 170
0.1, 189.32, 24.4867, 10000, 170
0.105, 160.729, 19.9563, 10000, 170
0.11, 139.155, 16.9588, 10000, 170
0.115, 122.081, 14.3476, 10000, 170
0.12, 108.292, 12.6556, 10000, 170
0.125, 97.5157, 11.1575, 10000, 170
0.13, 88.2199, 10.2612, 10000, 170
0.135, 80.3071, 9.15968, 10000, 170
0.14, 73.8162, 8.53604, 10000, 170
0.145, 68.1916, 8.00716, 10000, 170
0.05, 30.1023, 77.7374, 38, 175
0.055, 61.2255, 170.658, 237, 175
0.06, 179.413, 340.418, 1333, 175
0.065, 427.013, 437.942, 4227, 175
0.07, 655.342, 309.529, 8120, 175
0.075, 611.885, 139.927, 9836, 175
0.08, 463.342, 81.7229, 9998, 175
0.085, 353.992, 56.4884, 10000, 175
0.09, 280.442, 40.9097, 10000, 175
0.095, 227.683, 31.1489, 10000, 175
0.1, 190.209, 24.601, 10000, 175
0.105, 161.446, 20.2634, 10000, 175
0.11, 139.524, 16.5145, 10000, 175
0.115, 122.524, 14.3819, 10000, 175
0.12, 108.449, 12.3956, 10000, 175
0.125, 97.5256, 11.0749, 10000, 175
0.13, 88.2658, 10.1791, 10000, 175
0.135, 80.4837, 9.3289, 10000, 175
0.14, 74.0292, 8.54914, 10000, 175
0.145, 68.2434, 7.83817, 10000, 175
0.05, 29.9219, 74.229, 36, 180
0.055, 66.9524, 187.057, 276, 180
0.06, 189.676, 354.6, 1390, 180
0.065, 455.406, 451.014, 4427, 180
0.07, 676.578, 309.535, 8251, 180
0.075, 617.908, 138.258, 9867, 180
0.08, 465.085, 82.9847, 10000, 180
0.085, 355.558, 55.979, 10000, 180
0.09, 280.667, 40.4413, 10000, 180
0.095, 228.037, 30.9485, 10000, 180
0.1, 190.343, 24.6555, 10000, 180
0.105, 161.444, 19.8861, 10000, 180
0.11, 139.823, 16.645, 10000, 180
0.115, 122.532, 14.3324, 10000, 180
0.12, 109.006, 12.6197, 10000, 180
0.125, 97.6276, 11.1186, 10000, 180
0.13, 88.3374, 9.96452, 10000, 180
0.135, 80.477, 9.14956, 10000, 180
0.14, 74.0369, 8.527, 10000, 180
0.145, 68.3315, 7.69487, 10000, 180
0.05, 30.5703, 73.248, 34, 185
0.055, 71.1477, 200.474, 299, 185
0.06, 201.911, 369.647, 1474, 185
0.065, 486.474, 462.941, 4677, 185
0.07, 699.4, 305.757, 8415, 185
0.075, 625.243, 133.876, 9910, 185
0.08, 466.799, 80.4064, 9999, 185
0.085, 356.2, 55.542, 10000, 185
0.09, 280.527, 40.603, 10000, 185
0.095, 229.312, 31.0056, 10000, 185
0.1, 190.189, 24.0815, 10000, 185
