This function calculates N(6, 3, p).

Parameters: #simulations = 1000.
p from 0 to 0.15 step 0.001.

p, N(p), SD, size.

0, 0, 0, 105
0.001, 0, 0, 105
0.002, 0.002, 0.0632139, 105
0.003, 0.01, 0.160935, 105
0.004, 0.034, 0.246666, 105
0.005, 0.049, 0.297656, 105
0.006, 0.059, 0.336926, 105
0.007, 0.105, 0.451636, 105
0.008, 0.177, 0.587938, 105
0.009, 0.246, 0.673412, 105
0.01, 0.354, 0.883563, 105
0.011, 0.452, 0.96317, 105
0.012, 0.594, 1.0785, 105
0.013, 0.776, 1.24813, 105
0.014, 0.909, 1.24206, 105
0.015, 1.026, 1.41185, 105
0.016, 1.241, 1.40461, 105
0.017, 1.428, 1.51882, 105
0.018, 1.647, 1.5564, 105
0.019, 1.871, 1.77098, 105
0.02, 1.949, 1.70247, 105
0.021, 2.19, 1.85362, 105
0.022, 2.582, 1.93372, 105
0.023, 2.702, 1.99128, 105
0.024, 2.874, 2.02438, 105
0.025, 2.979, 1.86616, 105
0.026, 3.287, 2.20105, 105
0.027, 3.366, 2.18816, 105
0.028, 3.637, 2.3688, 105
0.029, 3.955, 2.48294, 105
0.03, 4.106, 2.41345, 105
0.031, 4.381, 2.62523, 105
0.032, 4.58, 2.79063, 105
0.033, 5.028, 2.96837, 105
0.034, 5.266, 3.24365, 105
0.035, 5.514, 4.08336, 105
0.036, 5.912, 3.47192, 105
0.037, 6.095, 3.44702, 105
0.038, 6.591, 3.85691, 105
0.039, 6.67, 3.82349, 105
0.04, 7.181, 4.44952, 105
0.041, 7.45, 4.16119, 105
0.042, 7.872, 4.49195, 105
0.043, 8.143, 4.30773, 105
0.044, 8.598, 5.17865, 105
0.045, 9.001, 6.2446, 105
0.046, 9.64, 5.81484, 105
0.047, 9.81, 6.1467, 105
0.048, 10.259, 5.53569, 105
0.049, 11.071, 7.73731, 105
0.05, 11.265, 7.30786, 105
0.051, 11.58, 6.89954, 105
0.052, 13.013, 16.4577, 105
0.053, 13.464, 10.8223, 105
0.054, 15.506, 23.7928, 105
0.055, 17.216, 34.1149, 105
0.056, 17.522, 28.747, 105
0.057, 19.096, 36.4641, 105
0.058, 19.723, 40.219, 105
0.059, 22.206, 39.103, 105
0.06, 23.762, 49.3112, 105
0.061, 24.334, 40.8302, 105
0.062, 27.159, 48.9128, 105
0.063, 36.537, 73.8097, 105
0.064, 36.934, 76.3562, 105
0.065, 41.289, 82.7209, 105
0.066, 50.566, 95.211, 105
0.067, 61.067, 110.291, 105
0.068, 64.273, 113.032, 105
0.069, 72.964, 118.174, 105
0.07, 77.593, 120.822, 105
0.071, 83.201, 125.637, 105
0.072, 90.786, 129.814, 105
0.073, 109.634, 143.475, 105
0.074, 114.734, 140.879, 105
0.075, 143.481, 155.009, 105
0.076, 152.619, 154.85, 105
0.077, 166.559, 153.912, 105
0.078, 171.894, 152.031, 105
0.079, 188.499, 149.544, 105
0.08, 204.615, 145.759, 105
0.081, 200.011, 141.31, 105
0.082, 221.152, 134.882, 105
0.083, 232.962, 123.136, 105
0.084, 232.882, 116.87, 105
0.085, 236.918, 108.614, 105
0.086, 237.973, 100.841, 105
0.087, 233.985, 95.3028, 105
0.088, 246.579, 79.8156, 105
0.089, 241.507, 73.9945, 105
0.09, 236.838, 68.4563, 105
