This function calculates N(6, 3, p).

Parameters: #simulations = 1000.
p from 0 to 0.15 step 0.001.

p, N(p), SD, size.
0.027, 8.706, 3.38224, 410
0.028, 9.397, 3.50534, 410
0.029, 9.712, 3.42652, 410
0.03, 10.013, 3.64538, 410
0.031, 10.775, 4.11441, 410
0.032, 11.217, 4.11848, 410
0.033, 11.789, 4.11126, 410
0.034, 12.711, 4.93979, 410
0.035, 13.048, 4.88075, 410
0.036, 13.73, 5.03995, 410
0.037, 14.623, 5.51152, 410
0.038, 15.445, 6.25036, 410
0.039, 16.46, 6.90191, 410
0.04, 17.289, 6.80452, 410
0.041, 18.214, 8.02261, 410
0.042, 19.418, 10.9086, 410
0.043, 19.493, 8.28516, 410
0.044, 21.473, 11.0142, 410
0.045, 22.07, 10.5768, 410
0.046, 24.52, 16.9325, 410
0.047, 25.997, 15.0729, 410
0.048, 29.524, 62.9694, 410
0.049, 31.003, 63.3431, 410
0.05, 49.598, 181.33, 410
0.051, 46.177, 145.882, 410
0.052, 63.634, 216.99, 410
0.053, 87.327, 282.765, 410
0.054, 107.728, 330.762, 410
0.055, 130.337, 355.763, 410
0.056, 145.49, 381.732, 410
0.057, 202.447, 464.371, 410
0.058, 241.871, 500.646, 410
0.059, 298.393, 542.426, 410
0.06, 384, 602.292, 410
0.061, 474.184, 632.557, 410
0.062, 569.375, 662.397, 410
0.063, 674.911, 666.496, 410
0.064, 719.665, 646.268, 410
0.065, 849.304, 612.56, 410
0.066, 927.488, 542.348, 410
0.067, 978.923, 474.254, 410
0.068, 1001.3, 402.778, 410
0.069, 975.318, 366.187, 410
0.07, 955.251, 280.541, 410
0.071, 907.57, 237.058, 410
0.072, 860.385, 215.264, 410
0.073, 806.481, 183.54, 410
0.074, 749.89, 157.11, 410
0.075, 705.59, 142.768, 410
0.076, 654.415, 126.462, 410
0.077, 611.063, 121.824, 410
0.078, 571.814, 107.544, 410
0.079, 533.422, 97.7271, 410
0.08, 505.861, 90.795, 410
0.081, 481.16, 86.1626, 410
0.082, 451.033, 78.0485, 410
0.083, 426.376, 72.2329, 410
0.084, 399.651, 67.6199, 410
0.085, 379.347, 61.0797, 410
0.086, 361.498, 58.1299, 410
0.087, 341.586, 53.2718, 410
0.088, 324.839, 49.6421, 410
0.089, 311.031, 45.3781, 410
0.09, 298.566, 46.2455, 410
0.091, 283.197, 42.3616, 410
0.092, 275.108, 41.0764, 410
0.093, 259.97, 37.2838, 410
0.094, 250.959, 36.7319, 410
0.095, 240.326, 34.3668, 410
0.096, 231.572, 33.5218, 410
0.097, 221.083, 30.4828, 410
0.098, 214.724, 30.1493, 410
0.099, 206.094, 28.5823, 410
0.1, 197.725, 26.3605, 410
0.101, 191.966, 25.7738, 410
0.102, 186.831, 25.7012, 410
0.103, 178.972, 23.4586, 410
0.104, 172.701, 22.7702, 410
0.105, 167.286, 21.8741, 410
0.106, 163.674, 20.9769, 410
0.107, 158.381, 19.9994, 410
0.108, 153.307, 19.988, 410
0.109, 149.221, 19.1143, 410
0.11, 144.544, 18.5066, 410
0.111, 140.961, 17.8613, 410
