This function calculates N(6, 3, p).

Parameters: #simulations = 1000.
p from 0 to 0.15 step 0.001.

p, N(p), SD, size.

0, 0, 0, 205
0.001, 0, 0, 205
0.002, 0.005, 0.0947365, 205
0.003, 0.03, 0.221585, 205
0.004, 0.086, 0.400754, 205
0.005, 0.152, 0.575236, 205
0.006, 0.309, 0.733157, 205
0.007, 0.461, 0.886837, 205
0.008, 0.667, 1.07616, 205
0.009, 0.787, 1.07964, 205
0.01, 1.086, 1.22825, 205
0.011, 1.338, 1.26086, 205
0.012, 1.601, 1.36374, 205
0.013, 1.955, 1.47681, 205
0.014, 2.173, 1.41034, 205
0.015, 2.523, 1.6969, 205
0.016, 2.706, 1.67498, 205
0.017, 2.948, 1.6755, 205
0.018, 3.166, 1.73622, 205
0.019, 3.511, 1.92662, 205
0.02, 3.716, 1.99081, 205
0.021, 3.927, 2.18029, 205
0.022, 4.237, 2.13795, 205
0.023, 4.518, 2.21488, 205
0.024, 4.78, 2.30729, 205
0.025, 5.26, 2.46179, 205
0.026, 5.48, 2.54551, 205
0.027, 5.816, 2.78103, 205
0.028, 6.145, 2.80891, 205
0.029, 6.609, 3.22802, 205
0.03, 6.778, 3.16745, 205
0.031, 7.375, 3.75851, 205
0.032, 7.56, 3.52653, 205
0.033, 7.992, 3.59638, 205
0.034, 8.396, 3.67004, 205
0.035, 8.611, 4.11384, 205
0.036, 9.216, 4.16117, 205
0.037, 9.791, 5.04493, 205
0.038, 10.265, 4.45542, 205
0.039, 10.649, 4.81682, 205
0.04, 10.886, 5.16962, 205
0.041, 11.839, 6.67091, 205
0.042, 12.7, 5.9659, 205
0.043, 13.195, 6.4188, 205
0.044, 14.108, 7.87581, 205
0.045, 15.341, 9.11903, 205
0.046, 15.254, 7.51848, 205
0.047, 16.255, 9.48873, 205
0.048, 17.133, 8.81007, 205
0.049, 19.3, 28.4703, 205
0.05, 23.358, 63.7246, 205
0.051, 21.529, 27.8337, 205
0.052, 23.41, 42.2082, 205
0.053, 25.651, 49.5434, 205
0.054, 33.395, 89.9828, 205
0.055, 32.156, 71.4588, 205
0.056, 43.935, 117.802, 205
0.057, 47.588, 121.905, 205
0.058, 61.388, 153.344, 205
0.059, 65.569, 161.758, 205
0.06, 69.951, 166.374, 205
0.061, 92.204, 202.751, 205
0.062, 112.499, 221.555, 205
