This function calculates N(6, 3, p).

Parameters: #simulations = 1000.
p from 0 to 0.15 step 0.001.

p, N(p), SD, size.

0, 0, 0, 305
0.001, 0.006, 0.0998198, 305
0.002, 0.045, 0.281025, 305
0.003, 0.075, 0.365205, 305
0.004, 0.187, 0.577954, 305
0.005, 0.368, 0.781394, 305
0.006, 0.627, 0.955966, 305
0.007, 0.886, 1.13358, 305
0.008, 1.225, 1.16292, 305
0.009, 1.492, 1.25855, 305
0.01, 1.814, 1.30208, 305
0.011, 2.207, 1.4086, 305
0.012, 2.387, 1.35839, 305
0.013, 2.627, 1.53358, 305
0.014, 2.994, 1.61182, 305
0.015, 3.279, 1.67904, 305
0.016, 3.524, 1.68506, 305
0.017, 3.867, 1.83883, 305
0.018, 4.157, 1.97341, 305
0.019, 4.504, 1.91154, 305
0.02, 4.788, 2.07775, 305
0.021, 5.28, 2.29861, 305
0.022, 5.607, 2.55706, 305
0.023, 5.96, 2.29922, 305
0.024, 6.301, 2.62762, 305
0.025, 6.593, 2.88918, 305
0.026, 6.996, 2.77452, 305
0.027, 7.589, 2.97255, 305
0.028, 7.742, 3.14125, 305
0.029, 8.361, 3.37412, 305
0.03, 8.673, 3.81026, 305
0.031, 8.97, 3.34232, 305
0.032, 9.499, 3.68511, 305
0.033, 10.088, 4.06205, 305
0.034, 10.822, 4.63447, 305
0.035, 11.204, 4.50271, 305
0.036, 11.816, 4.51599, 305
0.037, 12.298, 4.77611, 305
0.038, 13.093, 5.2671, 305
0.039, 13.812, 5.85018, 305
0.04, 14.687, 6.52833, 305
0.041, 15.074, 6.13144, 305
0.042, 16.043, 7.44279, 305
0.043, 16.836, 8.44056, 305
0.044, 18.628, 15.5626, 305
0.045, 20.991, 52.5648, 305
0.046, 20.482, 10.4846, 305
0.047, 21.476, 11.0888, 305
0.048, 22.374, 11.8588, 305
0.049, 25.351, 51.8202, 305
0.05, 32.676, 109.233, 305
0.051, 32.001, 89.2849, 305
0.052, 43.667, 138.494, 305
0.053, 42.499, 120.352, 305
0.054, 61.937, 185.418, 305
0.055, 65.18, 189.918, 305
0.056, 78.665, 217.233, 305
0.057, 89.93, 238.437, 305
0.058, 111.566, 275.685, 305
0.059, 156.316, 333.305, 305
0.06, 188.153, 367.362, 305
0.061, 265.272, 436.594, 305
0.062, 292.339, 447.196, 305
0.063, 330.612, 455.188, 305
0.064, 432.54, 491.159, 305
0.065, 483.457, 491.709, 305
0.066, 527.177, 487.356, 305
0.067, 587.359, 463.489, 305
0.068, 656.838, 429.676, 305
0.069, 679.804, 387.816, 305
0.07, 706.622, 352.341, 305
0.071, 723.989, 294.103, 305
0.072, 727.861, 252.376, 305
0.073, 712.738, 208.504, 305
0.074, 690.62, 181.935, 305
0.075, 670.132, 159.251, 305
0.076, 634.16, 143.935, 305
0.077, 592.561, 124.126, 305
0.078, 562.946, 125.815, 305
0.079, 516.35, 101.7, 305
0.08, 490.725, 99.3872, 305
0.081, 459.877, 90.014, 305
0.082, 441.869, 85.5715, 305
0.083, 411.591, 73.2885, 305
0.084, 391.482, 71.8345, 305
0.085, 368.816, 66.4395, 305
0.086, 355.026, 62.802, 305
0.087, 336.538, 59.5055, 305
0.088, 319.487, 53.8043, 305
0.089, 306.097, 52.665, 305
0.09, 292.927, 49.8243, 305
0.091, 278.69, 46.5095, 305
0.092, 268.04, 45.0077, 305
0.093, 254.024, 39.5963, 305
0.094, 244.977, 38.893, 305
0.095, 235.557, 36.1532, 305
0.096, 228.536, 35.3078, 305
0.097, 216.621, 33.3458, 305
0.098, 209.687, 31.0932, 305
0.099, 202.019, 29.8174, 305
0.1, 195.402, 29.0076, 305
0.101, 189.325, 27.5713, 305
0.102, 182.047, 25.9141, 305
0.103, 176.7, 24.4314, 305
0.104, 170.37, 24.9503, 305
0.105, 165.893, 23.1831, 305
0.106, 160.475, 22.4427, 305
0.107, 155.365, 20.7288, 305
0.108, 150.928, 21.1692, 305
0.109, 146.583, 19.6818, 305
0.11, 142.641, 19.6105, 305
0.111, 138.395, 18.1275, 305
0.112, 134.694, 18.4988, 305
0.113, 130.077, 16.1108, 305
0.114, 128.145, 16.4964, 305
0.115, 124.948, 16.4276, 305
0.116, 121.183, 16.3477, 305
0.117, 118.179, 15.369, 305
0.118, 114.926, 14.6615, 305
