This function calculates N(6, 3, p).

Parameters: #simulations = 1000.
p from 0.05 to 0.35 step 0.01.

p, N(p), SD, size.
0.2, 31.873, 5.84935, 65
0.21, 28.767, 5.10928, 65
0.09, 84.672, 71.3723, 55
0.1, 169.353, 41.0107, 85
0.22, 26.642, 4.71909, 65
0.23, 24.678, 4.21738, 65
0.24, 22.885, 3.97439, 65
0.1, 116.711, 54.2838, 55
0.25, 21.325, 3.66407, 65
0.26, 20.076, 3.40327, 65
0.27, 18.586, 3.0823, 65
0.28, 17.86, 3.12736, 65
0.11, 112.847, 32.1144, 55
0.29, 16.717, 2.95413, 65
0.3, 15.709, 2.80968, 65
0.11, 131.341, 27.2729, 85
0.31, 15.218, 2.67852, 65
0.32, 14.332, 2.54043, 65
0.12, 94.538, 21.9321, 55
0.33, 13.766, 2.47452, 65
0.34, 13.045, 2.29891, 65
0.13, 77.333, 16.4199, 55
0.05, 8.414, 5.11513, 75
0.14, 65.039, 12.4948, 55
0.06, 15.708, 27.2128, 75
0.12, 100.582, 18.8683, 85
0.15, 54.893, 10.5679, 55
0.16, 47.912, 9.43548, 55
0.07, 37.993, 64.5173, 75
0.17, 42.719, 8.37282, 55
0.18, 38.21, 7.47328, 55
0.13, 81.76, 14.7225, 85
0.19, 34.736, 6.9484, 55
0.2, 30.687, 5.65818, 55
0.21, 28.353, 5.47361, 55
0.22, 26.073, 4.82677, 55
0.23, 24.011, 4.32283, 55
0.08, 98.416, 103.884, 75
0.14, 68.015, 11.719, 85
0.24, 22.483, 4.03184, 55
0.25, 20.965, 3.93875, 55
0.26, 19.771, 3.6023, 55
0.27, 18.447, 3.2458, 55
0.28, 17.637, 3.21547, 55
0.15, 57.743, 9.69324, 85
0.29, 16.362, 3.03529, 55
0.3, 15.619, 2.84778, 55
0.31, 14.772, 2.7133, 55
0.32, 14.22, 2.62442, 55
0.33, 13.54, 2.59854, 55
0.34, 12.778, 2.29319, 55
0.16, 49.897, 8.24381, 85
0.17, 44.283, 7.38992, 85
0.09, 160.829, 87.143, 75
0.18, 39.556, 6.47633, 85
0.19, 35.411, 5.82564, 85
0.2, 32.273, 5.22422, 85
0.21, 29.724, 4.67267, 85
0.1, 159.919, 44.6618, 75
0.22, 27.161, 4.4803, 85
0.23, 25.332, 4.00472, 85
0.24, 23.505, 3.85979, 85
0.11, 126.828, 26.665, 75
0.25, 21.747, 3.67083, 85
0.26, 20.756, 3.29613, 85
0.27, 19.376, 3.21413, 85
0.28, 18.237, 3.03362, 85
0.12, 98.655, 18.6508, 75
0.29, 17.302, 2.98376, 85
0.3, 16.347, 2.75111, 85
0.31, 15.532, 2.55988, 85
0.13, 80.961, 15.4813, 75
0.32, 14.806, 2.42536, 85
0.33, 14.069, 2.22221, 85
0.34, 13.614, 2.26208, 85
0.14, 67.402, 12.2739, 75
0.05, 10.732, 8.6763, 95
0.15, 57.126, 9.88899, 75
0.06, 19.879, 29.1141, 95
0.16, 49.703, 8.57163, 75
0.17, 43.787, 7.31516, 75
0.18, 39.178, 6.74569, 75
0.19, 35.33, 5.7944, 75
0.2, 32.211, 5.39856, 75
0.07, 64.114, 103.521, 95
0.21, 29.258, 4.77006, 75
0.22, 26.796, 4.28817, 75
0.23, 25.068, 4.34366, 75
0.24, 23.355, 3.92237, 75
0.25, 21.688, 3.66124, 75
0.26, 20.451, 3.70616, 75
0.27, 19.177, 3.14637, 75
0.28, 18.006, 2.99065, 75
0.29, 16.842, 2.67863, 75
0.3, 16.088, 2.67474, 75
0.31, 15.166, 2.41339, 75
0.32, 14.631, 2.46675, 75
0.33, 13.891, 2.36794, 75
0.08, 160.977, 134.842, 95
0.34, 13.207, 2.10242, 75
0.09, 212.853, 76.1523, 95
0.1, 174.867, 37.4402, 95
0.11, 130.696, 24.3364, 95
0.12, 102.125, 18.2435, 95
0.13, 82.431, 14.9473, 95
0.14, 68.485, 11.2608, 95
0.15, 58.698, 9.51035, 95
0.16, 50.833, 8.4003, 95
0.17, 44.506, 6.66093, 95
0.18, 39.729, 6.41697, 95
0.19, 35.999, 6.084, 95
0.2, 32.916, 5.48826, 95
0.21, 29.992, 4.81622, 95
0.22, 27.722, 4.28191, 95
0.23, 25.581, 3.82903, 95
0.24, 23.86, 3.68597, 95
0.25, 22.218, 3.43547, 95
0.26, 20.929, 3.43802, 95
0.27, 19.614, 3.10822, 95
0.28, 18.559, 2.91762, 95
0.29, 17.382, 2.80216, 95
0.3, 16.383, 2.43645, 95
0.31, 15.987, 2.59554, 95
0.32, 14.937, 2.52132, 95
0.33, 14.275, 2.29159, 95
0.34, 13.515, 2.18398, 95

Processor time: 161.38.

Wall time: 161s.
